query	target	pident	evalue	qlen	tlen	alnlen	bits	tstart	tend	qstart	qend	qcov	tcov	neig1_id	query_source	query_clean	aro	gene_family	drug_class	mechanism	short_name	cryptic	has_human	tcov_tier	pident_tier
[SWISSPROT]sp|Q9ZKB5|HCPC_HELPJ	AF-A0A0H4IRQ0-F1-model_v6	19.9	1.237e-08	290	332	239	533	2	222	52	290	0.8241379310344827	0.7198795180722891	A0A0H4IRQ0	SWISSPROT	sp|Q9ZKB5|HCPC_HELPJ		Putative beta-lactamase HcpC			HCPC_HELPJ	True	True	70-90%	<30% cryptic
[SWISSPROT]sp|Q9F5K6|AVRB_STRVR	AF-A0A0H4IRX3-F1-model_v6	23.2	1.914e-18	287	250	247	743	2	248	38	283	0.8606271777003485	0.988	A0A0H4IRX3	SWISSPROT	sp|Q9F5K6|AVRB_STRVR		23S rRNA (uridine(2479)-2'-O)-methyltransferase			AVRB_STRVR	True	True	90-100%	<30% cryptic
[SWISSPROT]sp|P0AEK6|FABI_SHIFL	AF-A0A0H4IS08-F1-model_v6	17.0	1.637e-11	262	221	223	494	2	220	29	251	0.851145038167939	1.0	A0A0H4IS08	SWISSPROT	sp|P0AEK6|FABI_SHIFL		Enoyl-[acyl-carrier-protein] reductase [NADH] FabI			FABI_SHIFL	True	True	90-100%	<30% cryptic
[CARD]gb|CDO13836.1|ARO:3005044|OmpA	AF-A0A0H4IS55-F1-model_v6	12.1	6.958e-07	374	232	231	336	2	232	44	219	0.6176470588235294	0.9956896551724138	A0A0H4IS55	CARD	gb|CDO13836.1|ARO:3005044|OmpA	ARO:3005044	General Bacterial Porin with reduced permeability to peptide antibiotics	peptide antibiotic	reduced permeability to antibiotic	OmpA	True	False	90-100%	<30% cryptic
[SWISSPROT]sp|P9WJX6|CHLEP_MYCTO	AF-A0A0H4ISM8-F1-model_v6	23.9	3.209e-06	413	246	250	399	5	245	121	370	0.6053268765133172	1.0	A0A0H4ISM8	SWISSPROT	sp|P9WJX6|CHLEP_MYCTO		Chloramphenicol efflux pump MT0201			CHLEP_MYCTO	True	False	90-100%	<30% cryptic
[SWISSPROT]sp|A6LZF4|VGB_CLOB8	AF-A0A0H4IT26-F1-model_v6	8.8	2.695e-08	295	533	428	437	70	497	8	289	1.0	0.8030018761726079	A0A0H4IT26	SWISSPROT	sp|A6LZF4|VGB_CLOB8		Virginiamycin B lyase			VGB_CLOB8	True	False	70-90%	<30% cryptic
[CARD]gb|CDO13836.1|ARO:3005044|OmpA	AF-A0A0H4IT81-F1-model_v6	12.3	1.219e-07	374	235	234	368	2	235	44	219	0.6256684491978609	0.9957446808510638	A0A0H4IT81	CARD	gb|CDO13836.1|ARO:3005044|OmpA	ARO:3005044	General Bacterial Porin with reduced permeability to peptide antibiotics	peptide antibiotic	reduced permeability to antibiotic	OmpA	True	False	90-100%	<30% cryptic
[SWISSPROT]sp|P43458|YMCR_STRLA	AF-A0A0H4ITB9-F1-model_v6	17.6	2.816e-07	281	255	254	328	2	255	52	256	0.9039145907473309	0.996078431372549	A0A0H4ITB9	SWISSPROT	sp|P43458|YMCR_STRLA		Uncharacterized HTH-type transcriptional regulator in mcrB 3			YMCR_STRLA	True	False	90-100%	<30% cryptic
[CARD]gb|CDO13836.1|ARO:3005044|OmpA	AF-A0A0H4IV74-F1-model_v6	14.2	3.487e-08	374	226	225	391	2	226	44	219	0.6016042780748663	0.995575221238938	A0A0H4IV74	CARD	gb|CDO13836.1|ARO:3005044|OmpA	ARO:3005044	General Bacterial Porin with reduced permeability to peptide antibiotics	peptide antibiotic	reduced permeability to antibiotic	OmpA	True	False	90-100%	<30% cryptic
[CARD]gb|CDO13836.1|ARO:3005044|OmpA	AF-A0A0H4IV81-F1-model_v6	14.5	2.656e-08	374	229	227	396	3	229	43	219	0.606951871657754	0.9912663755458515	A0A0H4IV81	CARD	gb|CDO13836.1|ARO:3005044|OmpA	ARO:3005044	General Bacterial Porin with reduced permeability to peptide antibiotics	peptide antibiotic	reduced permeability to antibiotic	OmpA	True	False	90-100%	<30% cryptic
[SWISSPROT]sp|P36555|EPTA_SALTY	AF-A0A0H4IW93-F1-model_v6	44.2	1.389e-45	547	472	472	2190	2	472	75	546	0.8628884826325411	1.0	A0A0H4IW93	SWISSPROT	sp|P36555|EPTA_SALTY		Phosphoethanolamine transferase EptA			EPTA_SALTY	False	False	90-100%	30-50% remote
[CARD]gb|CDO13836.1|ARO:3005044|OmpA	AF-A0A0H4IWD4-F1-model_v6	12.4	2.433e-06	374	237	236	313	2	237	44	219	0.6310160427807486	0.9957805907172996	A0A0H4IWD4	CARD	gb|CDO13836.1|ARO:3005044|OmpA	ARO:3005044	General Bacterial Porin with reduced permeability to peptide antibiotics	peptide antibiotic	reduced permeability to antibiotic	OmpA	True	False	90-100%	<30% cryptic
[CARD]gb|DAC85641.1|ARO:3007099|FosM3	AF-A0A0H4IWF0-F1-model_v6	19.4	8.148e-06	142	113	101	243	2	102	31	122	0.7112676056338029	0.8938053097345132	A0A0H4IWF0	CARD	gb|DAC85641.1|ARO:3007099|FosM3	ARO:3007099	fosfomycin thiol transferase	phosphonic acid antibiotic	antibiotic inactivation	FosM3	True	True	70-90%	<30% cryptic
[CARD]gb|CDO13836.1|ARO:3005044|OmpA	AF-A0A0H4J5B4-F1-model_v6	14.5	2.023e-08	374	229	228	401	2	229	44	219	0.6096256684491979	0.9956331877729258	A0A0H4J5B4	CARD	gb|CDO13836.1|ARO:3005044|OmpA	ARO:3005044	General Bacterial Porin with reduced permeability to peptide antibiotics	peptide antibiotic	reduced permeability to antibiotic	OmpA	True	False	90-100%	<30% cryptic
[CARD]gb|CCP44758.1|ARO:3000392|Erm(37)	AF-A0A0H4J5E9-F1-model_v6	13.0	1.087e-06	179	508	158	282	5	162	2	137	0.88268156424581	0.3110236220472441	A0A0H4J5E9	CARD	gb|CCP44758.1|ARO:3000392|Erm(37)	ARO:3000392	Erm 23S ribosomal RNA methyltransferase	lincosamide antibiotic;macrolide antibiotic;streptogramin A antibiotic;streptogramin B antibiotic;streptogramin antibiotic	antibiotic target alteration	Erm(37)	True	False	30-50%	<30% cryptic
[CARD]gb|CDO13836.1|ARO:3005044|OmpA	AF-A0A0H4J5N9-F1-model_v6	12.7	5.69e-08	374	234	231	382	4	234	44	219	0.6176470588235294	0.9871794871794872	A0A0H4J5N9	CARD	gb|CDO13836.1|ARO:3005044|OmpA	ARO:3005044	General Bacterial Porin with reduced permeability to peptide antibiotics	peptide antibiotic	reduced permeability to antibiotic	OmpA	True	False	90-100%	<30% cryptic
[SWISSPROT]sp|O52836|TETW_BUTFI	AF-O87407-F1-model_v6	13.2	4.141e-08	639	485	341	385	1	341	1	234	0.5336463223787168	0.7030927835051546	O87407	SWISSPROT	sp|O52836|TETW_BUTFI		Tetracycline resistance protein TetW			TETW_BUTFI	True	True	70-90%	<30% cryptic
[CARD]gb|AAF67494.2|ARO:3002522|novA	AF-Q5F4X8-F1-model_v6	26.9	6.594e-38	615	622	613	1969	1	613	1	598	0.9967479674796748	0.9855305466237942	Q5F4X8	CARD	gb|AAF67494.2|ARO:3002522|novA	ARO:3002522	ATP-binding cassette (ABC) antibiotic efflux pump	aminocoumarin antibiotic	antibiotic efflux	novA	True	True	90-100%	<30% cryptic
[SWISSPROT]sp|P0A5Y7|INHA_MYCBO	AF-Q5F4Y0-F1-model_v6	23.4	5.931e-16	269	248	264	652	1	245	1	264	0.9814126394052045	1.0	Q5F4Y0	SWISSPROT	sp|P0A5Y7|INHA_MYCBO		Enoyl-[acyl-carrier-protein] reductase [NADH]			INHA_MYCBO	True	True	90-100%	<30% cryptic
[SWISSPROT]sp|P52393|TSNR_STRLU	AF-Q5F4Y3-F1-model_v6	12.2	3.212e-06	270	241	235	282	2	236	51	265	0.8703703703703703	0.975103734439834	Q5F4Y3	SWISSPROT	sp|P52393|TSNR_STRLU		23S rRNA (adenosine(1067)-2'-O)-methyltransferase			TSNR_STRLU	True	False	90-100%	<30% cryptic
[CARD]gb|ABG48543.1|ARO:3005052|LpsA	AF-Q5F4Y4-F1-model_v6	26.8	3.471e-19	256	280	279	749	2	280	7	256	1.0	0.9964285714285714	Q5F4Y4	CARD	gb|ABG48543.1|ARO:3005052|LpsA	ARO:3005052	Intrinsic peptide antibiotic resistant Lps	peptide antibiotic	reduced permeability to antibiotic	LpsA	True	True	90-100%	<30% cryptic
[SWISSPROT]sp|C5BDQ5|ARNC_EDWI9	AF-Q5F4Y5-F1-model_v6	17.2	5.761e-10	325	338	319	428	1	319	6	268	0.9815384615384616	0.9437869822485208	Q5F4Y5	SWISSPROT	sp|C5BDQ5|ARNC_EDWI9		Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose trans			ARNC_EDWI9	True	False	90-100%	<30% cryptic
[CARD]gb|ABG48543.1|ARO:3005052|LpsA	AF-Q5F4Y6-F1-model_v6	29.6	1.751e-19	256	279	255	760	2	256	6	248	0.99609375	0.9139784946236559	Q5F4Y6	CARD	gb|ABG48543.1|ARO:3005052|LpsA	ARO:3005052	Intrinsic peptide antibiotic resistant Lps	peptide antibiotic	reduced permeability to antibiotic	LpsA	True	True	90-100%	<30% cryptic
[SWISSPROT]sp|P0A2Y9|ATP6_STRR6	AF-Q5F4Z6-F1-model_v6	23.7	1.926e-08	238	288	258	448	27	284	1	232	1.0	0.8958333333333334	Q5F4Z6	SWISSPROT	sp|P0A2Y9|ATP6_STRR6		ATP synthase subunit a			ATP6_STRR6	True	False	70-90%	<30% cryptic
[CARD]gb|CAA79966.1|ARO:3003665|NmcR	AF-Q5F501-F1-model_v6	12.9	6.631e-06	295	288	222	266	40	261	89	289	0.752542372881356	0.7708333333333334	Q5F501	CARD	gb|CAA79966.1|ARO:3003665|NmcR	ARO:3003665	IMI beta-lactamase	carbapenem;cephalosporin;penicillin beta-lactam	antibiotic inactivation	NmcR	True	False	70-90%	<30% cryptic
[CARD]gb|DAC81085.1|ARO:3005088|msrH	AF-Q5F503-F1-model_v6	19.5	1.461e-11	486	266	243	506	1	243	266	486	0.5	0.9135338345864662	Q5F503	CARD	gb|DAC81085.1|ARO:3005088|msrH	ARO:3005088	msr-type ABC-F protein	macrolide antibiotic;streptogramin antibiotic	antibiotic target protection	msrH	True	True	90-100%	<30% cryptic
[CARD]gb|CDO12042.1|ARO:3005053|ArnT	AF-Q5F511-F1-model_v6	13.1	7.115e-13	551	558	540	738	19	545	8	547	0.9800362976406534	0.967741935483871	Q5F511	CARD	gb|CDO12042.1|ARO:3005053|ArnT	ARO:3005053	pmr phosphoethanolamine transferase	peptide antibiotic	antibiotic target alteration	ArnT	True	False	90-100%	<30% cryptic
