uid	umap_x	umap_y	source	gene_family	mechanism	drug_class
[CARD]gb|ACH58989.1|ARO:3002488|LRA-9	-4.669845	-0.4649314	AMR_query	subclass B3 LRA beta-lactamase	antibiotic inactivation	cephalosporin;penicillin beta-
[CARD]gb|BAH45481.1|ARO:3002815|clbB	3.3312943	5.3186235	AMR_query	Cfr 23S ribosomal RNA methyltransferase	antibiotic target alteration	lincosamide antibiotic;oxazoli
[CARD]gb|CAA45050.1|ARO:3002828|srmB	2.532625	0.36585727	AMR_query	Miscellaneous ABC-F subfamily ATP-bindin	antibiotic target protection	macrolide antibiotic
[CARD]gb|AGC29882.1|ARO:3002853|arr-8	-1.3333648	6.8929343	AMR_query	rifampin ADP-ribosyltransferase (Arr)	antibiotic inactivation	rifamycin antibiotic
[CARD]gb|AFO53532.1|ARO:3002883|rgt1438	0.7729035	3.2739127	AMR_query	rifampin glycosyltransferase	antibiotic inactivation	rifamycin antibiotic
[CARD]gb|AAA25680.1|ARO:3002595|AAC(6')-IIb	-1.4067686	4.938517	AMR_query	AAC(6')	antibiotic inactivation	aminoglycoside antibiotic
[CARD]gb|BAB38260.1|ARO:3000830|cpxA	2.7391195	1.9654768	AMR_query	resistance-nodulation-cell division (RND	antibiotic efflux	aminocoumarin antibiotic;amino
[CARD]gb|CAJ77856.1|ARO:3000777|adeF	17.226002	1.144248	AMR_query	resistance-nodulation-cell division (RND	antibiotic efflux	fluoroquinolone antibiotic;tet
[CARD]gb|BAB41874.1|ARO:3000815|mgrA	0.2797934	6.009068	AMR_query	ATP-binding cassette (ABC) antibiotic ef	antibiotic efflux	cephalosporin;disinfecting age
[CARD]gb|CAP69659.1|ARO:3003017|dfrA21	0.34963602	9.1125965	AMR_query	trimethoprim resistant dihydrofolate red	antibiotic target replacement	diaminopyrimidine antibiotic
[CARD]gb|AEP40500.1|ARO:3002912|vanN	3.6162934	5.410431	AMR_query	Van ligase;glycopeptide resistance gene 	antibiotic target alteration	glycopeptide antibiotic
[CARD]gb|ACD35503.1|ARO:3000572|tet(42)	-1.7256207	-9.421498	AMR_query	major facilitator superfamily (MFS) anti	antibiotic efflux	tetracycline antibiotic
[CARD]gb|AEM62948.1|ARO:3003196|tet(45)	-1.9300214	-10.770931	AMR_query	major facilitator superfamily (MFS) anti	antibiotic efflux	tetracycline antibiotic
[CARD]gb|ABD30512.1|ARO:3000839|arlS	0.877406	1.6828693	AMR_query	major facilitator superfamily (MFS) anti	antibiotic efflux	disinfecting agents and antise
[CARD]gb|ADM92606.1|ARO:3000549|adeS	0.9158548	1.7395825	AMR_query	resistance-nodulation-cell division (RND	antibiotic efflux	glycylcycline;tetracycline ant
[CARD]gb|AAP93847.1|ARO:3002477|LEN-14	-8.536896	-0.6226449	AMR_query	LEN beta-lactamase	antibiotic inactivation	penicillin beta-lactam
[CARD]gb|BAA32493.1|ARO:3000423|FomA	0.74659216	4.47306	AMR_query	Fom phosphotransferase family	antibiotic inactivation	phosphonic acid antibiotic
[CARD]gb|ABA71732.1|ARO:3003069|vanXY_in_vanG	-0.9108152	4.041588	AMR_query	glycopeptide resistance gene cluster;van	antibiotic target alteration	glycopeptide antibiotic
[CARD]gb|BAA34299.1|ARO:3003034|mexX	11.312893	4.8194556	AMR_query	resistance-nodulation-cell division (RND	antibiotic efflux	aminoglycoside antibiotic;carb
[CARD]gb|ALX99516.1|ARO:3003811|adeC	12.702957	2.7561042	AMR_query	resistance-nodulation-cell division (RND	antibiotic efflux	glycylcycline;tetracycline ant
[CARD]gb|AAD51347.1|ARO:3003067|smeS	2.7643936	1.9764307	AMR_query	resistance-nodulation-cell division (RND	antibiotic efflux	aminoglycoside antibiotic;ceph
[CARD]gb|ABX54687.1|ARO:3002910|vanL	3.6377897	5.4042897	AMR_query	Van ligase;glycopeptide resistance gene 	antibiotic target alteration	glycopeptide antibiotic
[CARD]gb|CAB13167.1|ARO:3003064|ykkD	-12.914642	-9.671347	AMR_query	small multidrug resistance (SMR) antibio	antibiotic efflux	aminoglycoside antibiotic;phen
[CARD]gb|CAA44667.1|ARO:3001305|ErmU	-3.4764977	4.7869577	AMR_query	Erm 23S ribosomal RNA methyltransferase	antibiotic target alteration	lincosamide antibiotic;macroli
[CARD]gb|BAP34782.1|ARO:3002008|CTX-M-151	-8.618649	-0.5925265	AMR_query	CTX-M beta-lactamase	antibiotic inactivation	cephalosporin
[CARD]gb|AAY32951.1|ARO:3002837|lnuC	-0.9176089	5.6425247	AMR_query	lincosamide nucleotidyltransferase (LNU)	antibiotic inactivation	lincosamide antibiotic
[CARD]gb|AAC14693.1|ARO:3002637|APH(2'')-IVa	-0.078693874	4.830662	AMR_query	APH(2'')	antibiotic inactivation	aminoglycoside antibiotic
[CARD]gb|AAC75135.2|ARO:3000792|mdtA	11.363454	4.9069266	AMR_query	resistance-nodulation-cell division (RND	antibiotic efflux	aminocoumarin antibiotic
[CARD]gb|KSC15183.1|ARO:3002537|AAC(3)-IIIb	0.5729811	3.9531786	AMR_query	AAC(3)	antibiotic inactivation	aminoglycoside antibiotic
[CARD]gb|AAT90846.1|ARO:3003556|SLB-1	-3.6774926	-0.68860763	AMR_query	SHW beta-lactamase	antibiotic inactivation	cephalosporin;penicillin beta-
[CARD]gb|CAB14620.1|ARO:3002627|aadK	-0.19020756	4.8036957	AMR_query	ANT(6)	antibiotic inactivation	aminoglycoside antibiotic
[CARD]gb|AAL19306.1|ARO:3000789|mdsA	11.330887	4.858325	AMR_query	resistance-nodulation-cell division (RND	antibiotic efflux	carbapenem;cephalosporin;monob
[CARD]gb|AAA88422.1|ARO:3002530|AAC(3)-Ib	-1.6955111	5.12289	AMR_query	AAC(3)	antibiotic inactivation	aminoglycoside antibiotic
[CARD]gb|AAA26684.1|ARO:3002829|vgaA	1.5792387	0.34753335	AMR_query	vga-type ABC-F protein	antibiotic target protection	lincosamide antibiotic;pleurom
[CARD]gb|CAJ32373.2|ARO:3002262|IND-6	-3.7211199	-1.519957	AMR_query	IND beta-lactamase	antibiotic inactivation	carbapenem
[CARD]gb|KIX81495.1|ARO:3002813|lmrB	-2.0919814	-10.750292	AMR_query	ATP-binding cassette (ABC) antibiotic ef	antibiotic efflux	lincosamide antibiotic;nucleos
[CARD]gb|ACJ59254.1|ARO:3000768|abeS	-12.905753	-9.6624	AMR_query	small multidrug resistance (SMR) antibio	antibiotic efflux	aminocoumarin antibiotic;macro
[CARD]gb|AAK60186.1|ARO:3003014|dfrA16	0.38189515	9.154946	AMR_query	trimethoprim resistant dihydrofolate red	antibiotic target replacement	diaminopyrimidine antibiotic
[CARD]gb|CAE53424.1|ARO:3003016|dfrA20	0.3784776	9.173532	AMR_query	trimethoprim resistant dihydrofolate red	antibiotic target replacement	diaminopyrimidine antibiotic
[CARD]gb|BAA11236.1|ARO:3000206|emrK	11.124793	5.081702	AMR_query	major facilitator superfamily (MFS) anti	antibiotic efflux	tetracycline antibiotic
[CARD]gb|AAT90847.1|ARO:3003557|SFB-1	-3.6686747	-0.66315633	AMR_query	SHW beta-lactamase	antibiotic inactivation	cephalosporin;penicillin beta-
[CARD]gb|BAC11911.1|ARO:3003551|emeA	-1.5730217	-10.587108	AMR_query	multidrug and toxic compound extrusion (	antibiotic efflux	disinfecting agents and antise
