neig1_id	query	target	pident	evalue	qlen	tlen	alnlen	bits	tstart	tend	qstart	qend	qcov	tcov	query_source	query_clean	aro	gene_family	drug_class	mechanism	short_name	cryptic	has_human	tcov_tier	pident_tier	uniprot_gene	uniprot_name	amr_keywords	has_amr_kw	kegg_id	pdb_refs	mean_plddt	pident_cat	tcov_cat	kegg_pathways
A0A0H4IRQ0	[SWISSPROT]sp|Q9ZKB5|HCPC_HELPJ	AF-A0A0H4IRQ0-F1-model_v6	19.9	1.237e-08	290	332	239	533	2	222	52	290	0.8241379310344827	0.7198795180722891	SWISSPROT	sp|Q9ZKB5|HCPC_HELPJ		Putative beta-lactamase HcpC			HCPC_HELPJ	True	True	70-90%	<30% cryptic		Sel1 repeat protein		False			166.5	"<30%
cryptic"	70-90%	
A0A0H4IRX3	[SWISSPROT]sp|P18644|TSNR_STRAJ	AF-A0A0H4IRX3-F1-model_v6	22.0	1.184e-19	269	250	246	786	3	248	30	269	0.9144981412639405	0.984	SWISSPROT	sp|P18644|TSNR_STRAJ		23S rRNA (adenosine(1067)-2'-O)-methyltransferase			TSNR_STRAJ	True	True	90-100%	<30% cryptic	rlmB	23S rRNA (guanosine-2'-O-)-methyltransferase RlmB		False			125.5	"<30%
cryptic"	90-100%	
A0A0H4IS08	[SWISSPROT]sp|P0AEK6|FABI_SHIFL	AF-A0A0H4IS08-F1-model_v6	17.0	1.637e-11	262	221	223	494	2	220	29	251	0.851145038167939	1.0	SWISSPROT	sp|P0AEK6|FABI_SHIFL		Enoyl-[acyl-carrier-protein] reductase [NADH] FabI			FABI_SHIFL	True	True	90-100%	<30% cryptic	fabG			False			111.0	"<30%
cryptic"	90-100%	Fatty acid biosynthesis;Biotin metabolism;Metabolic pathways;Biosynthesis of secondary metabolites;Fatty acid metabolism;Biosynthesis of cofactors
A0A0H4IS55	[CARD]gb|CDO13836.1|ARO:3005044|OmpA	AF-A0A0H4IS55-F1-model_v6	12.1	6.958e-07	374	232	231	336	2	232	44	219	0.6176470588235294	0.9956896551724138	CARD	gb|CDO13836.1|ARO:3005044|OmpA	ARO:3005044	General Bacterial Porin with reduced permeability to peptide antibiotics	peptide antibiotic	reduced permeability to antibiotic	OmpA	True	False	90-100%	<30% cryptic				False			116.5	"<30%
cryptic"	90-100%	
A0A0H4ISM8	[CARD]gb|CAA78046.1|ARO:3002701|Rfas_cmr	AF-A0A0H4ISM8-F1-model_v6	24.8	4.878e-08	391	246	236	500	10	245	108	340	0.6035805626598465	0.959349593495935	CARD	gb|CAA78046.1|ARO:3002701|Rfas_cmr	ARO:3002701	major facilitator superfamily (MFS) antibiotic efflux pump	phenicol antibiotic	antibiotic efflux	Rfas_cmr	True	False	90-100%	<30% cryptic				False			123.5	"<30%
cryptic"	90-100%	
A0A0H4IT26	[SWISSPROT]sp|A4FF33|VGB_SACEN	AF-A0A0H4IT26-F1-model_v6	10.4	1.951e-08	300	533	391	441	77	467	19	284	1.0	0.7335834896810507	SWISSPROT	sp|A4FF33|VGB_SACEN		Virginiamycin B lyase			VGB_SACEN	True	False	70-90%	<30% cryptic				False			267.0	"<30%
cryptic"	70-90%	
A0A0H4IT81	[CARD]gb|CDO13836.1|ARO:3005044|OmpA	AF-A0A0H4IT81-F1-model_v6	12.3	1.219e-07	374	235	234	368	2	235	44	219	0.6256684491978609	0.9957446808510638	CARD	gb|CDO13836.1|ARO:3005044|OmpA	ARO:3005044	General Bacterial Porin with reduced permeability to peptide antibiotics	peptide antibiotic	reduced permeability to antibiotic	OmpA	True	False	90-100%	<30% cryptic				False			118.0	"<30%
cryptic"	90-100%	
A0A0H4ITB9	[CARD]gb|AAD44693.1|ARO:3000816|mtrA	AF-A0A0H4ITB9-F1-model_v6	12.3	1.077e-08	301	255	262	411	3	255	11	272	0.8704318936877077	1.0	CARD	gb|AAD44693.1|ARO:3000816|mtrA	ARO:3000816	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic	antibiotic efflux	mtrA	True	False	90-100%	<30% cryptic				False			128.0	"<30%
cryptic"	90-100%	
A0A0H4IV74	[CARD]gb|CDO13836.1|ARO:3005044|OmpA	AF-A0A0H4IV74-F1-model_v6	14.2	3.487e-08	374	226	225	391	2	226	44	219	0.6016042780748663	0.995575221238938	CARD	gb|CDO13836.1|ARO:3005044|OmpA	ARO:3005044	General Bacterial Porin with reduced permeability to peptide antibiotics	peptide antibiotic	reduced permeability to antibiotic	OmpA	True	False	90-100%	<30% cryptic				False			113.5	"<30%
cryptic"	90-100%	
A0A0H4IV81	[CARD]gb|CDO13836.1|ARO:3005044|OmpA	AF-A0A0H4IV81-F1-model_v6	14.5	2.656e-08	374	229	227	396	3	229	43	219	0.606951871657754	0.9912663755458515	CARD	gb|CDO13836.1|ARO:3005044|OmpA	ARO:3005044	General Bacterial Porin with reduced permeability to peptide antibiotics	peptide antibiotic	reduced permeability to antibiotic	OmpA	True	False	90-100%	<30% cryptic				False			115.0	"<30%
cryptic"	90-100%	
